id|Sport|EventPCount
344|Cross Country Skiing|Cross Country Skiing Women''s 5/10 kilometres Pursuit|18
345|Athletics|Athletics Women''s Marathon|52
346|Cycling|Cycling Men''s Team Pursuit, 4,000 metres|422
347|Cycling|Cycling Men''s Individual Time Trial|34
348|Athletics|Athletics Women''s High Jump|124
349|Rowing|Rowing Men''s Coxless Fours|396
350|Judo|Judo Men''s Extra-Lightweight|76
351|Wrestling|Wrestling Men''s Light-Heavyweight, Greco-Roman|100
352|Synchronized Swimming|Synchronized Swimming Women''s Duet|88
353|Archery|Archery Men''s Individual|68
354|Wrestling|Wrestling Men''s Bantamweight, Greco-Roman|70
355|Speed Skating|Speed Skating Men''s 500 metres|98
356|Nordic Combined|Nordic Combined Men''s Individual|76
357|Shooting|Shooting Men''s Free Rifle, Three Positions, 300 metres|20
358|Judo|Judo Women''s Half-Lightweight|46
359|Wrestling|Wrestling Men''s Welterweight, Freestyle|102
360|Weightlifting|Weightlifting Women''s Featherweight|28
361|Rowing|Rowing Women''s Coxed Fours|116
362|Rowing|Rowing Women''s Double Sculls|126
363|Shooting|Shooting Women''s Sporting Pistol, 25 metres|44
364|Athletics|Athletics Women''s Long Jump|108
365|Swimming|Swimming Men''s 200 metres Butterfly|90
366|Wrestling|Wrestling Women''s Featherweight, Freestyle|8
367|Wrestling|Wrestling Men''s Flyweight, Freestyle|64
368|Shooting|Shooting Men''s Free Pistol, 50 metres|72
369|Athletics|Athletics Men''s 3,000 metres Steeplechase|126
370|Athletics|Athletics Men''s 400 metres Hurdles|148
371|Athletics|Athletics Men''s 50 kilometres Walk|98
372|Speed Skating|Speed Skating Women''s 500 metres|80
373|Speed Skating|Speed Skating Women''s 1,000 metres|82
374|Speed Skating|Speed Skating Women''s 1,500 metres|84
375|Baseball|Baseball Men''s Baseball|666
376|Diving|Diving Men''s Platform|72
377|Cycling|Cycling Men''s Points Race|42
378|Gymnastics|Gymnastics Men''s Floor Exercise|88
379|Table Tennis|Table Tennis Men''s Doubles|62
380|Gymnastics|Gymnastics Men''s Horse Vault|98
381|Table Tennis|Table Tennis Men''s Singles|22
382|Table Tennis|Table Tennis Men''s Team|36
383|Gymnastics|Gymnastics Men''s Parallel Bars|88
384|Badminton|Badminton Women''s Singles|16
385|Archery|Archery Women''s Individual|60
386|Archery|Archery Women''s Team|110
387|Swimming|Swimming Women''s 200 metres Breaststroke|84
388|Athletics|Athletics Men''s Pole Vault|158
389|Shooting|Shooting Men''s Rapid-Fire Pistol, 25 metres|70
390|Weightlifting|Weightlifting Women''s Heavyweight|28
391|Swimming|Swimming Men''s 4 x 100 metres Medley Relay|536
392|Sailing|Sailing Women''s Two Person Dinghy|94
393|Athletics|Athletics Women''s 100 metres Hurdles|74
394|Football|Football Women''s Football|572
395|Fencing|Fencing Women''s Sabre, Individual|22
396|Shooting|Shooting Men''s Small-Bore Rifle, Prone, 50 metres|76
397|Shooting|Shooting Men''s Small-Bore Rifle, Three Positions, 50 metres|68
398|Sailing|Sailing Mixed Three Person Keelboat|230
399|Sailing|Sailing Mixed Multihull|120
400|Judo|Judo Men''s Half-Middleweight|94
401|Weightlifting|Weightlifting Men''s Heavyweight II|24
402|Diving|Diving Men''s Springboard|70
403|Diving|Diving Men''s Synchronized Springboard|44
404|Short Track Speed Skating|Short Track Speed Skating Men''s 5,000 metres Relay|152
405|Canoeing|Canoeing Men''s Canadian Singles, 1,000 metres|100
406|Fencing|Fencing Women''s Foil, Team|340
407|Fencing|Fencing Women''s epee, Team|86
408|Wrestling|Wrestling Men''s Bantamweight, Freestyle|82
409|Gymnastics|Gymnastics Women''s Floor Exercise|94
410|Canoeing|Canoeing Men''s Canadian Doubles, 1,000 metres|184
411|Boxing|Boxing Men''s Bantamweight|124
412|Water Polo|Water Polo Women''s Water Polo|382
413|Canoeing|Canoeing Men''s Kayak Fours, 1,000 metres|336
414|Athletics|Athletics Men''s 3,000 metres, Team|66
415|Wrestling|Wrestling Men''s Middleweight, Greco-Roman|110
416|Speed Skating|Speed Skating Men''s 5,000 metres|86
417|Speed Skating|Speed Skating Men''s 1,500 metres|90
418|Gymnastics|Gymnastics Men''s Rings|84
419|Speed Skating|Speed Skating Women''s 3,000 metres|90
420|Speed Skating|Speed Skating Women''s 5,000 metres|48
421|Cycling|Cycling Men''s Road Race, Individual|90
422|Taekwondo|Taekwondo Women''s Flyweight|32
423|Synchronized Swimming|Synchronized Swimming Women''s Team|260
424|Shooting|Shooting Mixed Rapid-Fire Pistol, 25 metres|24
425|Judo|Judo Men''s Heavyweight|100
426|Shooting|Shooting Mixed Small-Bore Rifle, Prone, 50 metres|24
427|Boxing|Boxing Men''s Middleweight|118
428|Weightlifting|Weightlifting Men''s Heavyweight I|26
429|Boxing|Boxing Men''s Super-Heavyweight|66
430|Athletics|Athletics Women''s 3,000 metres Steeplechase|18
431|Basketball|Basketball Women''s Basketball|734
432|Athletics|Athletics Men''s 10,000 metres|144
433|Athletics|Athletics Men''s Marathon|144
434|Ice Hockey|Ice Hockey Women''s Ice Hockey|600
435|Snowboarding|Snowboarding Women''s Parallel Giant Slalom|24
436|Weightlifting|Weightlifting Men''s Middle-Heavyweight|98
437|Wrestling|Wrestling Men''s Featherweight, Greco-Roman|110
438|Weightlifting|Weightlifting Men''s Super-Heavyweight|70
439|Fencing|Fencing Men''s epee, Team|424
440|Biathlon|Biathlon Women''s 12.5 kilometres Mass Start|18
441|Biathlon|Biathlon Women''s 4 x 6 kilometres Relay|70
442|Wrestling|Wrestling Men''s Lightweight, Freestyle|104
443|Sailing|Sailing Mixed One Person Dinghy|84
444|Sailing|Sailing Men''s One Person Dinghy|42
445|Sailing|Sailing Men''s One Person Heavyweight Dinghy|12
446|Beach Volleyball|Beach Volleyball Men''s Beach Volleyball|66
447|Athletics|Athletics Women''s 400 metres|84
448|Athletics|Athletics Men''s Javelin Throw|146
449|Cross Country Skiing|Cross Country Skiing Women''s 4 x 5 kilometres Relay|256
450|Biathlon|Biathlon Women''s 4 x 7.5 kilometres Relay|68
451|Judo|Judo Men''s Lightweight|94
452|Wrestling|Wrestling Men''s Flyweight, Greco-Roman|64
453|Modern Pentathlon|Modern Pentathlon Men''s Team|180
454|Modern Pentathlon|Modern Pentathlon Men''s Individual|94
455|Alpine Skiing|Alpine Skiing Women''s Slalom|92
456|Wrestling|Wrestling Men''s Featherweight, Freestyle|106
457|Weightlifting|Weightlifting Men''s Heavyweight|86
458|Wrestling|Wrestling Men''s Middleweight, Freestyle|112
459|Badminton|Badminton Men''s Doubles|82
460|Beach Volleyball|Beach Volleyball Women''s Beach Volleyball|70
461|Table Tennis|Table Tennis Women''s Doubles|54
462|Badminton|Badminton Women''s Doubles|64
463|Badminton|Badminton Mixed Doubles|70
464|Weightlifting|Weightlifting Women''s Light-Heavyweight|22
465|Fencing|Fencing Men''s Foil, Individual|94
466|Shooting|Shooting Mixed Running Target, 50 metres|18
467|Boxing|Boxing Men''s Light-Heavyweight|124
468|Athletics|Athletics Women''s 4 x 100 metres Relay|496
469|Judo|Judo Men''s Half-Heavyweight|94
470|Swimming|Swimming Women''s 4 x 100 metres Medley Relay|518
471|Swimming|Swimming Women''s 100 metres Backstroke|90
472|Wrestling|Wrestling Women''s Lightweight, Freestyle|28
473|Fencing|Fencing Women''s Sabre, Team|38
474|Figure Skating|Figure Skating Mixed Pairs|174
475|Rhythmic Gymnastics|Rhythmic Gymnastics Women''s Individual|48
476|Figure Skating|Figure Skating Mixed Ice Dancing|114
477|Diving|Diving Women''s Synchronized Springboard|40
478|Athletics|Athletics Women''s 10,000 metres|42
479|Snowboarding|Snowboarding Men''s Boardercross|18
480|Weightlifting|Weightlifting Men''s Light-Heavyweight|98
481|Weightlifting|Weightlifting Men''s Featherweight|86
482|Weightlifting|Weightlifting Men''s Lightweight|82
483|Boxing|Boxing Men''s Light-Middleweight|92
484|Cycling|Cycling Women''s Points Race|24
485|Cycling|Cycling Women''s Individual Time Trial|36
